position,artist,title,year,youtube_link,spotify_link,base_year
16,Alexander Rybak,Fairytale,2009,https://www.youtube.com/watch?v=WXwgZL4zx9o,https://open.spotify.com/track/3MnAsEBBsEj86d03RgO4EM,2022
17,Katrina & The Waves,Love Shine A Light,1997,https://www.youtube.com/watch?v=NnoikRec67k,https://open.spotify.com/track/1u0gdvczyEjRrBPIBHDKPK,2022
18,Milk And Honey,Hallelujah,1979,https://www.youtube.com/watch?v=jKbvuYRR35E,https://open.spotify.com/track/0MSj3prJSpFXSAE7sq0us7,2022
19,Ruth Jacott,Vrede,1993,https://www.youtube.com/watch?v=HCuLhGZFqlc,https://open.spotify.com/track/1ijSg7COGeKN7Cu9ejnPet,2022
20,MÃ¥neskin,Zitti E Buoni,2021,https://www.youtube.com/watch?v=QN1odfjtMoo,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw,2022
21,MÃ¥ns ZelmerlÃ¶w,Heroes,2015,https://www.youtube.com/watch?v=-nbq6Ur103Q,https://open.spotify.com/track/4ciaNqHWA2IzHphZaVRzHI,2022
22,France Gall,"PoupÃ©e De Cire, PoupÃ©e De Son",1965,https://www.youtube.com/watch?v=s5aeeSmkPwQ,https://open.spotify.com/track/6hHbNqaJeMLX3EbRErFtrA,2022
23,Bucks Fizz,Making Your Mind Up,1981,https://www.youtube.com/watch?v=h4-lKMGII_k,https://open.spotify.com/track/0Azn2vpP3Sbs8qAG8e1KUc,2022
24,Tozzi & Raff,Gente Di Mare,1987,https://www.youtube.com/watch?v=gJHd8NGgpec,https://open.spotify.com/track/6qdxrFxVkUd0bq5P6J132z,2022
25,Edsilia Rombley,Hemel & Aarde,1998,https://www.youtube.com/watch?v=O_TDK5Q4BjA,https://open.spotify.com/track/16kFUvzMPTUEcE4rQjT2n5,2022
26,Sandie Shaw,Puppet On A String,1967,https://www.youtube.com/watch?v=Ga1kMdJCc_Q,https://open.spotify.com/track/70ZsTynFv2rUBRAtLbuiXF,2022
27,Salvador Sobral,Amar Pelos Dois,2017,https://www.youtube.com/watch?v=Qotooj7ODCM,https://open.spotify.com/track/202ObLBtd9FxpOgpSj9xiG,2022
28,Cliff Richard,Power To All Our Friends,1973,https://www.youtube.com/watch?v=H-NCuAOZ9I0,https://open.spotify.com/track/4oJxJpFIGUHlX6limr6rH1,2022
29,Dana,All Kinds Of Everything,1970,https://www.youtube.com/watch?v=h1a_5Hyzjks,https://open.spotify.com/track/3SJPRPwpF0MTFKPrshBeKM,2022
30,CÃ©line Dion,Ne Partez Pas Sans Moi,1988,https://www.youtube.com/watch?v=I1CwpCNThO4,https://open.spotify.com/track/0Kv4i96E41jbULmUajBYOe,2022
31,Go_A,Shum,2021,https://www.youtube.com/watch?v=U7-dxzp6Jvs,https://open.spotify.com/track/29bhnde7Gvnp7rvY9zsq5S,2022
32,Emmelie De Forest,Only Teardrops,2013,https://www.youtube.com/watch?v=KTlKyLa7ZLg,https://open.spotify.com/track/3yRwgprKX3If2zcuGfKFBu,2022
33,Anne Marie David,Tu Te ReconnaÃ®tras,1973,https://www.youtube.com/watch?v=zn1svLVprUk,https://open.spotify.com/track/3682WlWtLmx44QNpB6Py4X,2022
34,Lordi,Hard Rock Hallelujah,2006,https://www.youtube.com/watch?v=gAh9NRGNhUU,https://open.spotify.com/track/4LmSxJVbKgclgUXcwZEisI,2022
35,Alice & Franco Battiato,I Treni Di Tozeur,1984,https://www.youtube.com/watch?v=yVtkvuKpKf8,https://open.spotify.com/track/0o2eGeNxofrU3EF8aPgs9Y,2022
36,DaÃ°i Freyr & GagnamagniÃ°,10 Years,2021,https://www.youtube.com/watch?v=1zTbVRPh5EI,https://open.spotify.com/track/6N6HSN3zytFXva8LTUUvIL,2022
37,Heddy Lester,De Mallemolen,1977,https://www.youtube.com/watch?v=wYjA2_2p0Ew,https://open.spotify.com/track/0ix6CRJE6kCRFnxwnnndsu,2022
38,Herrey's,Diggi Loo-Diggi Ley,1984,https://www.youtube.com/watch?v=ySOCalwr6Yo,https://open.spotify.com/track/2EKpCraXZdPTwpOwnEe090,2022
39,Cliff Richard,Congratulations,1968,https://www.youtube.com/watch?v=_xJcE9tnY6E,https://open.spotify.com/track/1ZfbMOw5VSh5Qqr8hgLCkJ,2022
40,Mouth & MacNeal,I See A Star,1974,https://www.youtube.com/watch?v=8YeKTR7OFWs,https://open.spotify.com/track/7qsXX1PCCCsGusfjU7gTFu,2022
41,Maggie MacNeal,Amsterdam,1980,https://www.youtube.com/watch?v=rsQtDZfM0Qk,https://open.spotify.com/track/57a7RnAVNp4WEGiNxhr43b,2022
42,Douwe Bob,Slow Down,2016,https://www.youtube.com/watch?v=tCvWLi_ujl4,https://open.spotify.com/track/3YHPxuqHwfYUhoTWoNDwZt,2022
43,Secret Garden,Nocturne,1995,https://www.youtube.com/watch?v=y5beWOIecS4,https://open.spotify.com/track/6bk11TH82XrT5QUC1gDw9A,2022
44,Conchita Wurst,Rise Like A Phoenix,2014,https://www.youtube.com/watch?v=SaolVEJEjV4,https://open.spotify.com/track/0fvafkeEoF6Y9gGLK3Wnu3,2022
45,Mahmood,Soldi,2019,https://www.youtube.com/watch?v=22lISUXgSUw,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3,2022
46,Udo JÃ¼rgens,Merci ChÃ©rie,1966,https://www.youtube.com/watch?v=47-hea1oCXs,https://open.spotify.com/track/1KHSnWFJ5a988kM1Kz2daX,2022
47,KEiiNO,Spirit In The Sky,2019,https://www.youtube.com/watch?v=Ovt7YGHAj8I,https://open.spotify.com/track/7B7O5jgFpWfc9orZw6FN4K,2022
48,Lena Meyer-Landrut,Satellite,2010,https://www.youtube.com/watch?v=8QSgNM9yNjo,https://open.spotify.com/track/2UjNsh4ipNrmog6wdS2JVv,2022
49,O'G3ne,Lights And Shadows,2017,https://www.youtube.com/watch?v=H8nj5ZD5Fy8,https://open.spotify.com/track/2mRpKDnxoLXVk6dKXHDP2k,2022
50,Dana International,Diva,1998,https://www.youtube.com/watch?v=Fv83u7-mNWQ,https://open.spotify.com/track/0holXF210D5UdrOBW4vVx8,2022
1,ABBA (BjÃ¶rn & Benny & Anna & Frida),Waterloo,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4,https://open.spotify.com/track/3Dy4REq8O09IlgiwuHQ3sk,2023
2,Loreen,Euphoria,2012,https://www.youtube.com/watch?v=bcnWysA9gxo,https://open.spotify.com/track/2knr7ikPt4l7bk92qS4ZXW,2023
3,Common Linnets,Calm After The Storm,2014,https://www.youtube.com/watch?v=hkrF8uC92O4,https://open.spotify.com/track/3mWdxSsbIK45Brors2XWR1,2023
4,Duncan Laurence,Arcade,2019,https://www.youtube.com/watch?v=Eztx7Wr8PtE,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,2023
5,Teach-In,Ding-A-Dong,1975,https://www.youtube.com/watch?v=5zNVRMabSTU,https://open.spotify.com/track/2dZ5FvhW12NB8mQPhdBu7U,2023
6,Johnny Logan,What's Another Year,1980,https://www.youtube.com/watch?v=-b3XTj5G_SA,https://open.spotify.com/track/51hipIpHYmj2Qh2tyQ32h6,2023
7,Anouk,Birds,2013,https://www.youtube.com/watch?v=WMTggnBEtt4,https://open.spotify.com/track/6uPVcR5TJzmTE0nFUWgNMz,2023
8,Barbara Pravi,VoilÃ,2021,https://www.youtube.com/watch?v=VJuD7AnV-uw,https://open.spotify.com/track/1uAOCTevGnyKIDbgZdOCnE,2023
9,Mocedades,Eres Tu,1973,https://www.youtube.com/watch?v=naAC37W42ro,https://open.spotify.com/track/08HeIb9BidFjKROf9ptln0,2023
